Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Вернигора,Симон,Зеновійович,Чоловік,21.11.2015,Намотувальник,хутір Кипуче,"набережна Рекордний, буд. 158 кв. 70, Джанкой, 84166",841 50 35,omelianudovychenko@example.org
Червоненко,Лариса,Григоріївна,Жінка,21.11.2013,Астронавт,місто Біляївка,"проспект Чернівецький, буд. 465, Конотоп, 76074",+380 41 409-77-50,havrylohavrysh@example.org
Баклан,Ліза,Ігорівна,Жінка,20.11.2016,Медик,селище Тернівка ,"узвіз Чорноморський 13-й, буд. 538 кв. 43, Бахчисарай, 81831",310-86-50,parmenvysochan@example.net
Артимишин,Вʼячеслав,Васильович,Чоловік,22.11.2009,Швачка,місто Малин,"проспект Астрономічна, буд. 98, Знам'янка, 43197",+380 58 702-66-08,hryhoriizarudnyi@example.com
Аврамчук,Венедикт,Віталійович,Чоловік,22.11.2009,Епідеміолог,місто Соледар,"проспект Академічна, буд. 40, Ірміно, 96738",095 718-60-52,anzhela62@example.com
Верхола,Гордій,Романович,Чоловік,23.11.2007,Флорист,місто Теплодар,"набережна Стахановський 4-й, буд. 565, Перемишляни, 63118",+380 60 142 24 75,zvenhrynovych@example.com
Чабан,Опанас,Богданович,Чоловік,19.11.2021,Юрист,селище Вінниця,"набережна Амундсена, 1-й, буд. 3 кв. 895, Бровари, 19377",+380 61 893-58-63,valentynmasokha@example.com
Перебийніс,Данна,Анатоліївна,Жінка,19.11.2022,Програміст,селище Червоносів,"проспект Кримська, буд. 9 кв. 02, Гайворон, 84789",731-65-30,nskyba@example.com
Алексюк,Богодар,Максимович,Чоловік,21.11.2012,Економіст,селище Яремче,"сквер Бреуса, буд. 5 кв. 388, Соснівка , 44123",+380 94 447-92-45,lesartymovych@example.org
Гайда,Любов,Василівна,Жінка,19.11.2022,Соціолог,місто Новомиргород,"провулок Амбулаторний 1-й, буд. 3 кв. 6, Підгайці, 26011",018 900 67 10,okseniiaartiushenko@example.org
Данченко,Назар,Зеновійович,Чоловік,19.11.2020,Дипломат,хутір Славута,"парк Адміральський, буд. 096, Судова Вишня, 18283",+380 (52) 804-52-16,zakharieroshenko@example.org
Овсієнко,Мілена,Святославівна,Жінка,19.11.2022,Реставратор,село Рава-Руська,"шосе Маячний, буд. 5, Жмеринка, 23627",720 95 55,ievhen11@example.org
Бабʼюк,Остап,Ярославович,Чоловік,22.11.2008,Випробувач,місто Підгайці,"набережна Єврейська, буд. 59 кв. 49, Олександрівськ, 62855",+380 58 715 93 17,khrystynalevchenko@example.net
Бабко,Олег,Олегович,Чоловік,20.11.2019,Бухгалтер,хутір Макіївка,"площа Локомотивний 3-й, буд. 215 кв. 0, Попасна, 95317",363 49 19,abashpolchenko@example.com
Дзюба,Федір,Васильович,Чоловік,20.11.2017,Сантехнік,село Кам'янка (Черкаська область),"площа Тимірязєва 5-й, буд. 3 кв. 86, Нетішин, 35449",+380 56 759 39 16,petroustenko@example.com
Тихий,Христина,Анатоліївна,Жінка,21.11.2015,Пекар,село Кремінна,"парк Каркашадзе, буд. 699, Болехів, 41525",+380 (69) 234-01-91,vasyl91@example.org
Фаренюк,Микита,Ярославович,Чоловік,20.11.2016,Золотар,селище Пустомити,"проспект Аптекарський, буд. 2, Первомайський , 70797",+380 97 255-65-39,rostyslavsvystun@example.org
Корбут,Лесь,Григорійович,Чоловік,20.11.2016,Юрист,селище Нетішин,"вулиця Шевченка парк, буд. 80, Сніжне, 51135",+380 (40) 289-85-65,mkaras@example.org
Данилюк,Василь,Зеновійович,Чоловік,21.11.2014,Гицель,село Святогірськ,"узвіз Асташкіна, буд. 72, Сєвєродонецьк, 69589",018 781 49 15,okseniia37@example.net
Валенко,Емілія,Артемівна,Жінка,19.11.2022,Математик,село Помічна,"площа Героїв оборони Одеси, буд. 62 кв. 7, Ромни, 20740",074 569-14-73,matiashsviatoslava@example.org
Іваничук,Єфрем,Романович,Чоловік,19.11.2022,Біолог,селище Чоп,"площа Павлова, буд. 7 кв. 7, Севастополь, 24801",+380 34 508-67-30,markotovstolis@example.net
Цісик,Павло,Артемович,Чоловік,22.11.2009,Фрілансер,селище Радомишль,"набережна Кустанайський 2-й, буд. 9, Чернівці, 08278",054 44 27,myroslav50@example.com
Гуцуляк,Марина,Григоріївна,Жінка,19.11.2021,Історик,селище Луганськ,"сквер Лінія 45-та, буд. 863 кв. 3, Ірміно, 70293",140 88 26,ievtushenkookhrim@example.com
Сірченко,Михайлина,Максимівна,Жінка,20.11.2019,Адвокат,село Люботин,"сквер 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 803, Буринь, 76269",+380 (29) 245-76-97,heorhiibairak@example.com
Сімашкевич,Владислав,Зеновійович,Чоловік,19.11.2022,Кінорежисер,село Переяслав,"площа Степана Олійника узвіз, буд. 527 кв. 35, Гола Пристань, 18279",+380 64 498 68 21,boryskadeniuk@example.org
Данченко,Ярема,Степанович,Чоловік,21.11.2012,Дизайнер,місто Ровеньки,"узвіз Восьмого березня, буд. 19 кв. 70, Пустомити, 68072",029 565 95 11,masliaknadiia@example.com
Лупій,Володимира,Святославівна,Жінка,21.11.2013,Бібліограф,місто Дніпрорудне,"площа Адміральський, буд. 30 кв. 38, Армянськ, 16603",+380 46 583-62-05,levkoandrusenko@example.org
Воблий,Дарина,Зеновіївна,Жінка,21.11.2012,Паблік рилейшнз,селище Погребище,"провулок Ялинковий, буд. 029, Новояворівськ, 41940",024 960 78 96,wbazylevskyi@example.org
Данильчук,Валерій,Максимович,Чоловік,21.11.2013,Паралегал,селище Рубіжне,"шосе Магнітогорський 2-й, буд. 853 кв. 2, Яремче, 22769",051 931 53 17,taraniustyna@example.com
Бакуменко,Софія,Василівна,Жінка,23.11.2007,Шериф,місто Золотоноша,"провулок Центральний аеропорт, буд. 725, Глиняни, 87280",+380 47 995-31-27,haidenkoalbert@example.org
Карпенко,Камілла,Тарасівна,Жінка,22.11.2010,Каскадер,хутір Соледар,"сквер Моторна, буд. 310 кв. 321, Пустомити, 16523",+380 62 621 77 20,shtepamarta@example.net
Комар,Михайлина,Ярославівна,Жінка,19.11.2021,Ботанік,селище Ялта,"шосе Рєпіна, буд. 46, Кременець, 46129",+380 42 149 20 33,czakharchenko@example.net
Андрейко,Вікторія,Богданівна,Жінка,19.11.2022,Музикант,місто Шумськ,"парк Спиридонівська, буд. 03 кв. 116, Олевськ, 54217",190 99 80,adashenko@example.org
Назаренко,Борис,Святославович,Чоловік,21.11.2014,Каскадер,місто Перещепине,"парк Світанку, буд. 36 кв. 05, Міусинськ, 50757",+380 41 736 31 32,dubynaprokhir@example.com
Гриценко,Аліна,Максимівна,Жінка,21.11.2012,Геолог,хутір Рені,"сквер Олександра Матросова, буд. 64 кв. 21, Кролевець, 99566",403-76-05,ttsiupa@example.net
Верменич,Марія,Богданівна,Жінка,20.11.2016,Патологоанатом,місто Камінь-Каширський,"площа Кавказька, буд. 178 кв. 67, Знам'янка, 56512",086 244 15 23,oles17@example.org
Демʼяненко,Орест,Богданович,Чоловік,22.11.2010,Антрополог,місто Судак ,"вулиця Чубаївська, буд. 981 кв. 01, Умань, 27684",056 820-04-43,vladyslavzhalilo@example.com
Ляшко,Емілія,Богданівна,Жінка,19.11.2021,Кушнір,хутір Скадовськ,"провулок Дев’ята, буд. 410, Новомиргород, 05125",+380 (27) 077-95-57,edyta96@example.org
Гавришкевич,Макар,Ігорович,Чоловік,19.11.2022,Географ,хутір П'ятихатки,"набережна Герцена, буд. 565, Люботин, 53501",533 22 39,jtovstolis@example.net
Ісаєвич,Марʼяна,Зеновіївна,Жінка,20.11.2019,Водій,місто Яготин,"площа Липнева, буд. 0 кв. 5, Лиман , 56185",071 088-51-22,babiukemiliia@example.org
Іщенко,Пантелеймон,Ігорович,Чоловік,21.11.2012,Паблік рилейшнз,хутір Буча,"сквер Літакова, буд. 63, Кипуче, 34398",017 173-17-90,boryskhudiak@example.net
Яковенко,Левко,Анатолійович,Чоловік,19.11.2022,Науковець,місто Хрустальний,"сквер Морський 2-й, буд. 770, Бахчисарай, 84714",+380 (22) 299-88-27,fareniukmarta@example.net
Конопля,Ярослав,Тарасович,Чоловік,21.11.2013,Підприємець,селище Калинівка ,"набережна ПшеничнаРадищева, буд. 7, Кипуче, 68384",135-48-80,ihor89@example.net
Гречко,Борис,Богданович,Чоловік,23.11.2007,Модельєр,селище Рахів,"парк Казанська, буд. 5 кв. 26, Суми, 19775",+380 99 514 92 32,gshamrai@example.org
Авраменко,Данило,Ярославович,Чоловік,19.11.2020,Мінералог,селище Золоте,"набережна Світлий, буд. 24 кв. 900, Хорол , 54416",+380 11 656 05 62,orkhyp11@example.org
Корбут,Прохір,Тарасович,Чоловік,19.11.2020,Будник,місто Вугледар,"сквер Шишкіна, буд. 079 кв. 6, Голубівка, 18616",066 243-86-35,kyrylenkomykyta@example.com
Уманець,Святослав,Олегович,Чоловік,21.11.2013,Випробувач,селище Скалат,"провулок Дзвінка, буд. 69 кв. 584, Решетилівка, 66382",+380 40 437-38-26,olhareva@example.net
Редько,Макар,Тарасович,Чоловік,22.11.2009,Епідеміолог,село Миронівка,"узвіз Гранатний, буд. 612 кв. 55, Донецьк, 06030",619 18 25,kovpakboryslav@example.com
Закусило,Еріка,Ігорівна,Жінка,19.11.2022,Мірошник,хутір Горішні Плавні,"набережна 10-та Лінія Марії Демченко, буд. 1 кв. 826, Харцизьк, 71795",089 167-57-14,darynaeibozhenko@example.org
Воблий,Богданна,Ігорівна,Жінка,19.11.2020,Парфюмер,село Боярка,"узвіз Балтський 1-й, буд. 099, Чернівці, 43769",085 218 03 18,vhabelko@example.net
Охримович,Юстина,Ярославівна,Жінка,23.11.2007,М'ясник,селище Київ,"площа Соборна, буд. 156 кв. 6, Баранівка, 71335",021 79 73,dzaporozhets@example.com
Лисенко,Артем,Григорійович,Чоловік,19.11.2022,Перекладач,хутір Збараж,"вулиця Іцхака Рабіна, буд. 555, Могилів-Подільський, 95029",+380 73 131-25-59,albert28@example.org
Гаврилець,Марина,Зеновіївна,Жінка,19.11.2020,Нотаріус,місто Бурштин ,"вулиця Авіаторів, буд. 75, Новомосковськ, 74999",+380 53 076-36-37,ozaporozhets@example.com
Данькевич,Франц,Богданович,Чоловік,20.11.2016,Флорист,хутір Семенівка,"сквер 13-та Суворовська, буд. 194 кв. 998, Приморськ (Україна), 97901",+380 40 997-21-37,ielysaveta12@example.net
Гайворонський,Ірена,Ігорівна,Жінка,21.11.2012,Бухгалтер,село Славута,"площа Лінія 41-ша, буд. 308 кв. 81, Середина-Буда, 49235",059 946-55-16,halyna74@example.net
Парасюк,Марко,Тарасович,Чоловік,21.11.2014,Клавішник,місто Зборів,"площа Пляжна, буд. 766 кв. 1, Бахмач, 77648",+380 (22) 254-28-48,abandera@example.net
Теличенко,Ірена,Зеновіївна,Жінка,21.11.2014,Інженер,селище Київ,"сквер Український 2-й, буд. 24, Тернівка , 33057",062 762 97 14,liubov42@example.net
Дубенко,Любов,Артемівна,Жінка,21.11.2014,Ріелтор,селище Бахчисарай,"проспект Китобійна, буд. 63 кв. 09, Заводське, 35277",097 755 41 12,parmen87@example.com
Царенко,Ада,Романівна,Жінка,19.11.2022,Кінорежисер,місто Звенигородка,"шосе Бугаївська, буд. 4, Першотравенськ, 43063",056 252 30 12,makartsymbal@example.com
Ващенко,Пріска,Анатоліївна,Жінка,19.11.2023,Кінолог,хутір Амвросіївка,"провулок Слави, буд. 21 кв. 24, Старокостянтинів, 70551",+380 (13) 105-11-84,emiliiasvystun@example.org
Ільєнко,Венедикт,Максимович,Чоловік,21.11.2015,Шериф,хутір Вижниця,"парк Смоленська, буд. 9, Сміла, 96427",098 560 52 66,andriichukrozaliia@example.net
Дрозд,Юстим,Степанович,Чоловік,19.11.2022,Провізор,хутір Бровари,"сквер Зарічна, буд. 3, Південне , 61267",925-86-70,iustymkhmara@example.net
Лагода,Ярослава,Ярославівна,Жінка,23.11.2007,Нотаріус,хутір Виноградів,"набережна Генуезька, буд. 5 кв. 72, Рава-Руська, 50893",009 227-60-48,zieremenko@example.com
Вітер,Болеслав,Романович,Чоловік,23.11.2007,Адвокат,село Рубіжне,"парк Дністровська, буд. 2 кв. 9, Переяслав, 29010",+380 (62) 018-35-92,eshvachko@example.net
Дубенко,Ліза,Ігорівна,Жінка,20.11.2016,Кушнір,хутір Зугрес,"провулок Травневий 2-й, буд. 8, Жмеринка, 90633",734-04-54,tetiana20@example.net
Гавриш,Демид,Святославович,Чоловік,19.11.2022,Антрополог,місто Алчевськ,"набережна Білоруська, буд. 85, Олешки, 13573",009 190 12 76,arkadiiorobets@example.org
Павлик,Азар,Максимович,Чоловік,21.11.2015,Будник,селище Жмеринка,"проспект Лінія 36-та, буд. 6 кв. 9, Хирів, 98436",025 260-66-59,rostyslavshvaika@example.com
Стельмах,Світлана,Ігорівна,Жінка,20.11.2018,Художник,місто Ананьїв,"проспект Машинобудівний, буд. 37, Одеса, 26871",192-82-52,boryslytvyn@example.com
Гайворонський,Анжела,Ігорівна,Жінка,21.11.2012,Археолог,хутір Костопіль,"шосе Шкіперська, буд. 8 кв. 461, Сновськ, 47544",+380 (80) 907-60-45,pvysochan@example.org
Гаврилів,Одарка,Зеновіївна,Жінка,22.11.2011,Кушнір,хутір Карлівка,"проспект Смоленська, буд. 30 кв. 449, Турка, 58467",088 853-87-04,onysym36@example.net
Гаврюшенко,Вікторія,Ігорівна,Жінка,19.11.2021,Електрослюсар,місто Узин,"площа Радіо, буд. 1 кв. 33, Торецьк, 93151",+380 (29) 800-41-41,okhrimenkobohdanna@example.org
Заруба,Надія,Ярославівна,Жінка,22.11.2011,Промисловець,місто Первомайський ,"площа Наливна, буд. 37 кв. 479, Боярка, 03052",+380 69 746-80-91,zynoviivenhrynovych@example.net
Піддубний,Ганна,Олегівна,Жінка,19.11.2021,Хореограф,хутір Лозова ,"парк Проценка, буд. 3 кв. 08, Винники, 12258",170 11 36,marynamykytiuk@example.com
Скиба,Алла,Максимівна,Жінка,21.11.2014,Паралегал,селище Коломия,"площа Перемоги, буд. 846, Ржищів, 71430",031 977-97-71,ashelest@example.net
Гаєвський,Зорян,Анатолійович,Чоловік,23.11.2007,Промисловець,місто Южноукраїнськ,"вулиця Пересипська 5-та, буд. 84, Мар'їнка, 64325",060 281-98-37,illiaromanenko@example.com
Носаченко,Єва,Богданівна,Жінка,21.11.2012,Мистецтвознавець,село Південне ,"площа Пироговська, буд. 4 кв. 0, Гайсин, 73394",+380 68 593-99-07,nalyvaikokyrylo@example.com
Дробаха,Леон,Артемович,Чоловік,20.11.2017,Етнограф,селище Зимогір'я,"узвіз Фруктовий, буд. 10, Сіверськ, 69655",008 141 92 63,rvasylenko@example.net
Забашта,Еріка,Ярославівна,Жінка,21.11.2014,Золотар,село Переяслав,"вулиця Лиманчик 2-й Лінія 2-га, буд. 4, Радивилів, 91868",+380 (21) 997-58-84,azhazhastanislav@example.org
Теличенко,Антон,Олегович,Чоловік,21.11.2015,Диригент,село Новоград-Волинський,"узвіз Кришталева, буд. 457, Камінь-Каширський, 26097",+380 46 837 43 40,teodor12@example.com
Черненко,Степан,Романович,Чоловік,21.11.2013,М'ясник,селище Галич,"набережна Деволанівська, буд. 81, Кременчук, 74584",+380 47 897 57 68,ylysenko@example.org
Ляшко,Яків,Зеновійович,Чоловік,19.11.2022,Пілот,селище Городище ,"узвіз Леонова, буд. 3, Лутугине, 87682",+380 87 836-37-97,vira32@example.org
Ільєнко,Климент,Ярославович,Чоловік,22.11.2010,Парфюмер,село Камінь-Каширський,"площа Любашівський, буд. 597 кв. 05, Покровськ, 11704",073 260-36-14,bakumenkoklavdiia@example.net
Саєнко,Юстим,Ярославович,Чоловік,23.11.2007,Промисловець,селище Білозерське,"шосе Лінія 31-ша, буд. 14 кв. 0, Бережани, 41470",098-85-87,kadeniukleonid@example.com
Яременко,Зиновій,Васильович,Чоловік,19.11.2020,Електротехнік,хутір Городище ,"вулиця Чорноморський, буд. 7 кв. 3, Благовіщенське, 85428",889-10-52,qhrechko@example.net
Мірошниченко,Назар,Романович,Чоловік,21.11.2012,Няня,місто Луцьк,"проспект Райдужна, буд. 8 кв. 06, Полонне, 15585",092 125-81-59,dtokar@example.com
Артеменко,Богуслава,Святославівна,Жінка,20.11.2016,Патологоанатом,село Білозерське,"провулок Новгородський 2-й, буд. 3 кв. 9, Нове Давидково, 61652",+380 20 480 12 09,mykhailychenkoiakiv@example.net
Влох,Данило,Романович,Чоловік,19.11.2020,Няня,хутір Андрушівка,"парк Книжковий, буд. 06, Чуднів, 16953",399-11-13,tarasenkovioletta@example.org
Нестайко,Оксана,Ярославівна,Жінка,21.11.2012,Клоун,село Судова Вишня,"шосе Леваневського, буд. 0 кв. 6, Дружківка, 53041",+380 76 161-16-86,pylypenkomykyta@example.org
Андрейко,Мирон,Артемович,Чоловік,23.11.2006,Математик,селище Городенка,"узвіз Професора Коровицького, буд. 7 кв. 481, Дебальцеве, 44727",+380 23 195 46 09,mykolaishvachko@example.org
Титаренко,Пилип,Максимович,Чоловік,23.11.2006,Гірник,хутір Зіньків,"площа Посівна, буд. 31, Підгородне, 87274",+380 84 382 87 60,lestymchuk@example.com
Матвієнко,Леон,Романович,Чоловік,20.11.2016,Круп'є,хутір Молодогвардійськ,"площа Композитора Глинки, буд. 9, Заліщики, 25540",075 617 23 32,filipenkorozaliia@example.org
Байдак,Валентин,Богданович,Чоловік,19.11.2021,Намотувальник,хутір Зугрес,"узвіз Рєпіна, буд. 7 кв. 7, Болехів, 61130",+380 99 719 46 44,sieshchenko@example.com
Орлик,Ярема,Тарасович,Чоловік,21.11.2012,Реабілітолог,хутір Зміїв,"сквер Петрашевського, буд. 5 кв. 05, Скадовськ, 41891",066 995 16 78,ihor52@example.org
Доценко,Софія,Ярославівна,Жінка,22.11.2011,Громадський діяч,селище Золоте,"шосе Марії Демченко 2-й, буд. 108 кв. 10, Таврійськ, 76937",685 77 21,olifirenkodan@example.org
Забіла,Богданна,Артемівна,Жінка,22.11.2008,Ювелір,місто Тетіїв,"набережна Локомотивний 4-й, буд. 446 кв. 3, Бібрка, 47567",+380 79 694-92-64,abashpolchenko@example.net
Бабʼюк,Оксенія,Ігорівна,Жінка,19.11.2020,Мікробіолог,хутір Черкаси,"парк Гранатна, буд. 419, Андрушівка, 59928",+380 35 078-74-09,gdashenko@example.com
Забарний,Макар,Святославович,Чоловік,20.11.2017,Дипломат,хутір Кам'янське,"шосе Єлисаветградський, буд. 205 кв. 45, Вінниця, 65693",+380 (80) 630-34-26,fedirgalagan@example.org
Гайдай,Омелян,Ярославович,Чоловік,23.11.2007,Письменник,хутір Горохів,"сквер Рельєфна, буд. 253 кв. 7, Заводське, 71782",+380 75 695-24-93,snizhanabaida@example.net
Притула,Пантелеймон,Ярославович,Чоловік,20.11.2018,Кінорежисер,село Чорноморськ,"сквер Текстильників, буд. 991 кв. 016, Нетішин, 36016",025 572 21 20,ibaran@example.net
Бабко,Аліна,Анатоліївна,Жінка,23.11.2007,Єгер,селище Долина ,"площа Середня, буд. 5 кв. 6, Дунаївці, 73929",039 165-18-07,lupiinataliia@example.com
Бандура,Максим,Артемович,Чоловік,22.11.2011,Шериф,місто Костянтинівка,"узвіз Лейтенанта Шмідта, буд. 37, Біляївка, 61692",+380 33 965-84-07,zzinkevych@example.com
Царенко,Василина,Анатоліївна,Жінка,19.11.2023,Євнух,село Авдіївка,"узвіз Складська, буд. 18 кв. 98, Біляївка, 82096",075 100 96 78,adanchuk@example.net
Артимишин,Едита,Василівна,Жінка,20.11.2017,Інженер,село Бережани,"парк Варненська, буд. 7, Кипуче, 55292",098-75-71,sbandura@example.org
Швачка,Феофан,Васильович,Чоловік,20.11.2017,Конструктор,селище Новодружеськ,"провулок Пересипська 1-ша, буд. 7, Кам'янка-Бузька, 92097",+380 25 184 69 90,zdubyna@example.net
Вишняк,Зиновій,Васильович,Чоловік,19.11.2020,Ботанік,селище Овруч,"площа Вузький, буд. 690 кв. 141, Белз, 65679",540 22 30,anastasiiahavriushenko@example.net
Дурдинець,Григорій,Віталійович,Чоловік,22.11.2009,Кінокритик,село Боярка,"проспект Івана Микитенка, буд. 5, Вижниця, 77290",+380 92 741 46 19,orkhyp70@example.org
Кармалюк,Тетяна,Тарасівна,Жінка,22.11.2009,Адвокат,село Шпола,"парк Кострова, буд. 13 кв. 65, Новгород-Сіверський, 23148",002 079 46 95,nataliiadanyliuk@example.net
Прокопович,Данило,Максимович,Чоловік,22.11.2009,Художник,селище Гола Пристань,"узвіз Мелітопольська, буд. 290 кв. 4, Тернівка , 43707",702 09 02,zhrechko@example.net
Тихий,Василина,Богданівна,Жінка,21.11.2013,Акушер,село Тетіїв,"площа Прокатна, буд. 431, Молодогвардійськ, 15739",+380 (20) 610-60-76,artymovychkhrystyna@example.org
Прокопович,Богуслава,Зеновіївна,Жінка,22.11.2008,Маркетолог,хутір Жидачів,"проспект Грибоєдова, буд. 2 кв. 542, Стрий, 58673",031 598-60-25,fkhmara@example.com
Андрійчук,Людмила,Артемівна,Жінка,20.11.2019,Маркетолог,місто Гадяч,"площа Наявний 6-й, буд. 95 кв. 79, Луганськ, 47918",+380 66 452-87-10,khomadevdiuk@example.org
Салій,Пріска,Романівна,Жінка,21.11.2015,Парфюмер,селище Армянськ,"проспект Дорожня, буд. 21, Жмеринка, 93997",063 057-89-47,mdemianchuk@example.org
Дараган,Мілена,Святославівна,Жінка,22.11.2008,Адвокат,хутір Коломия,"узвіз Орликова, буд. 742, Олевськ, 59682",+380 81 160-92-43,fchalyi@example.org
Щербак,Варвара,Тарасівна,Жінка,21.11.2012,Художник,хутір Кривий Ріг,"проспект Соляний 1-й, буд. 07 кв. 3, Селидове, 89249",317 12 68,artemkovpak@example.com
Жайворон,Тетяна,Ігорівна,Жінка,22.11.2011,Клоун,селище Баранівка,"шосе Шампанський, буд. 81 кв. 46, Вільногірськ, 45247",025 122 76 49,bohuslavademianenko@example.org
Рябець,Охрім,Максимович,Чоловік,21.11.2015,Педагог,селище Рені,"узвіз Керченський 3-й, буд. 703 кв. 8, Добропілля, 49590",+380 (48) 832-48-86,vira79@example.org
Яценко,Оксенія,Тарасівна,Жінка,20.11.2017,Мірошник,хутір Моспине,"провулок Професора Коровицького, буд. 9, Курахове, 14593",+380 02 507 37 96,voblyiiustyna@example.org
Тесленко,Данна,Тарасівна,Жінка,23.11.2006,Будник,селище Соснівка ,"проспект Висока, буд. 645 кв. 6, Шепетівка, 51226",+380 30 520 65 22,ealekseienko@example.org
Оніщук,Марія,Ярославівна,Жінка,23.11.2006,Письменник,місто Карлівка,"провулок Байдарочний, буд. 6, Новогродівка, 06293",+380 11 785-12-64,okhrimenkokamilla@example.net
Шевченко,Захар,Тарасович,Чоловік,22.11.2011,Гірник,місто Кремінна,"вулиця Бітумна, буд. 29 кв. 66, Івано-Франківськ, 57058",+380 47 559-42-38,okseniia90@example.net
Полтавець,Марʼяна,Григоріївна,Жінка,20.11.2017,Перекладач,хутір Південне ,"провулок Станційна 1-ша, буд. 89 кв. 222, Комарно, 44969",785 34 82,bohodartalan@example.net
Дубина,Олесь,Григорійович,Чоловік,22.11.2009,Літературознавець,селище Красноград,"проспект Восьмого Березня Лінія 5-та, буд. 621 кв. 17, Кам'янець-Подільський, 27961",341-60-33,telychenkosofiia@example.com
Фесенко,Венедикт,Романович,Чоловік,21.11.2013,Психолог,місто Здолбунів,"набережна Державіна, буд. 9 кв. 461, Ічня, 63920",167 22 29,spas66@example.net
Бгиденко,Орест,Григорійович,Чоловік,22.11.2009,Лікар,селище Сміла,"сквер Світлий, буд. 68 кв. 925, Дніпро , 65443",+380 (96) 738-62-18,avramenkoherman@example.com
Закусило,Костянтин,Васильович,Чоловік,22.11.2008,Музичний редактор,хутір Бершадь,"парк Соляний 5-й, буд. 4 кв. 2, Ужгород, 54034",+380 70 335-09-92,myronkopytko@example.org
Сацюк,Богданна,Віталіївна,Жінка,21.11.2015,Секретар,місто Феодосія,"площа Патріотична, буд. 48 кв. 8, Судак , 25735",450-11-35,ierchenkolarysa@example.com
Івасюк,Юстина,Ярославівна,Жінка,19.11.2022,Стиліст,село Каховка,"сквер 12-та Суворовська, буд. 32 кв. 624, Хрестівка, 98589",+380 (44) 818-11-29,sofiialahoda@example.net
Хмара,Владислав,Тарасович,Чоловік,19.11.2020,Складальник,місто Ізмаїл,"узвіз Кордонний, буд. 95 кв. 8, Сновськ, 52731",059 823-49-86,charnyshviktor@example.net
Токар,Златослава,Святославівна,Жінка,23.11.2006,Конструктор,місто Новодружеськ,"сквер Лесі Українки, буд. 943 кв. 248, Кременчук, 42002",025 542 41 47,rudyklevko@example.net
Аверченко,Тереза,Артемівна,Жінка,20.11.2018,Прокурор,хутір Іршава,"парк 19-й км Старокиївської дороги, буд. 570 кв. 2, Копичинці, 41548",352-12-58,saleksiichuk@example.org
Ґерус,Алла,Ігорівна,Жінка,22.11.2011,Менеджер,хутір Ананьїв,"шосе Хвойний, буд. 599, Мостиська, 42724",091 857-10-56,heorhii93@example.org
Верменич,Лілія,Ігорівна,Жінка,21.11.2014,Детектив,селище Берегове,"провулок Катаєва, буд. 982 кв. 2, Південне , 67223",069 016 39 11,havrylyshynoleksa@example.org
Цимбал,Гордій,Григорійович,Чоловік,19.11.2022,Диригент,селище Сміла,"провулок Отамана Головатого, буд. 887, Галич, 23270",330 25 53,martyn41@example.net
Швачко,Юстим,Васильович,Чоловік,22.11.2011,Електрик,село Тетіїв,"сквер Василя Стуса, буд. 8 кв. 32, Славута, 70013",+380 (56) 289-62-95,jderevianko@example.com
Матвієнко,Давид,Григорійович,Чоловік,22.11.2008,Машиніст,село Новомосковськ,"сквер Байдарочний, буд. 1 кв. 229, Глухів, 99401",832-33-85,solomiiaokhrymovych@example.org
Сірко,Клавдія,Анатоліївна,Жінка,22.11.2009,Археолог,село Корець,"шосе Приморський, буд. 4 кв. 65, Жидачів, 29903",076 574 71 63,xfastenko@example.org
Сацюк,Ростислав,Віталійович,Чоловік,20.11.2016,Гірник,селище Помічна,"сквер Пересипська 3-тя, буд. 007, Корець, 64577",278-23-38,demiandanylenko@example.org
Кириленко,Богодар,Ярославович,Чоловік,20.11.2016,Локсмайстер,село Очаків,"парк Квіткова, буд. 4 кв. 5, Іршава, 58895",+380 (32) 326-06-06,demianizhakevych@example.net
Лавренко,Ганна,Артемівна,Жінка,19.11.2021,Стиліст,селище Покров,"вулиця Венгера, буд. 092 кв. 64, Коломия, 73627",887 50 45,ieromenkoliubov@example.org
Гайда,Святослава,Святославівна,Жінка,22.11.2008,Дипломат,селище Олешки,"узвіз Історія Футболу, буд. 60 кв. 09, Дунаївці, 49708",+380 97 343 83 88,varfolomii88@example.com
Сірко,Мілена,Анатоліївна,Жінка,20.11.2017,Сценарист,село Кипуче,"шосе Іцхака Рабіна, буд. 4 кв. 313, Вугледар, 84778",+380 04 322 44 30,okseniia55@example.org
Рудько,Соломія,Василівна,Жінка,22.11.2008,Кінолог,селище Кролевець,"площа Ползунова 2-й, буд. 247 кв. 4, Білицьке, 23295",+380 13 221-48-82,albert40@example.org
Гук,Борис,Степанович,Чоловік,21.11.2012,М'ясник,хутір Перечин,"вулиця Скрипковий, буд. 79, Кам'янське, 59789",+380 71 337-53-43,nestorshyian@example.net
Андрієвич,Марія,Ярославівна,Жінка,19.11.2022,Ветеринар,хутір Шпола,"провулок Глазунова, буд. 73, Південне , 48563",857-12-26,phaidabura@example.org
Атрощенко,Володимира,Тарасівна,Жінка,22.11.2010,Живописець,місто Світловодськ,"проспект Проточний, буд. 296, Стрий, 23478",074 700 84 27,semenchenkomariana@example.org
